inputs,targets
thursday august 20 1992,1992-08-20
3 september 1997,1997-09-03
13/03/1992,1992-03-13
oct 11 1973,1973-10-11
thu 10 mar 1983,1983-03-10
03/12/2010,2010-12-03
15 jan 2015,2015-01-15
25/02/1976,1976-02-25
11/20/10,2010-11-20
thursday december 25 2003,2003-12-25
05/06/2019,2019-06-05
march 30 1986,1986-03-30
mar 25 1970,1970-03-25
june 29 1972,1972-06-29
sun 11 oct 1981,1981-10-11
tuesday august 4 1981,1981-08-04
29/01/1993,1993-01-29
tuesday 2 june 1992,1992-06-02
6/20/89,1989-06-20
03/03/2016,2016-03-03
sunday february 14 1982,1982-02-14
31 august 2017,2017-08-31
2/19/96,1996-02-19
feb 9 2009,2009-02-09
september 6 2009,2009-09-06
15/02/1990,1990-02-15
sun 25 dec 1988,1988-12-25
friday november 13 1981,1981-11-13
13 jan 1995,1995-01-13
5 nov 1997,1997-11-05
7/3/73,1973-07-03
saturday july 1 1978,1978-07-01
apr 8 2013,2013-04-08
monday 5 january 2009,2009-01-05
4 july 2020,2020-07-04
wednesday january 27 2010,2010-01-27
november 5 2002,2002-11-05
sep 28 1989,1989-09-28
21 january 2007,2007-01-21
sunday 21 october 1984,1984-10-21
26 jan 2010,2010-01-26
thursday 14 october 1971,1971-10-14
18 january 1997,1997-01-18
1/23/11,2011-01-23
september 17 1993,1993-09-17
26/10/2004,2004-10-26
7/31/95,1995-07-31
11/04/1982,1982-04-11
thu 2 apr 2020,2020-04-02
sat 27 apr 2002,2002-04-27
6 nov 1976,1976-11-06
wed 30 oct 2013,2013-10-30
16 feb 2002,2002-02-16
12 apr 1977,1977-04-12
tue 25 jul 2000,2000-07-25
sep 13 1981,1981-09-13
16 jan 2008,2008-01-16
6 july 1984,1984-07-06
23 september 2013,2013-09-23
21 mar 1975,1975-03-21
monday march 19 2012,2012-03-19
23/08/2002,2002-08-23
24/09/1974,1974-09-24
5 sep 2001,2001-09-05
wed 5 nov 1980,1980-11-05
tuesday 14 july 1981,1981-07-14
dec 25 2011,2011-12-25
25 nov 2001,2001-11-25
sun 4 oct 1970,1970-10-04
september 19 1991,1991-09-19
31 december 1980,1979-12-31
aug 5 1982,1982-08-05
10 november 2001,2001-11-10
12/21/15,2015-12-21
monday august 13 2018,2018-08-13
saturday 7 september 1974,1974-09-07
7 dec 1978,1978-12-07
thursday 16 july 2009,2009-07-16
31 mar 2002,2002-03-31
9 august 1992,1992-08-09
17 july 2004,2004-07-17
25/07/2009,2009-07-25
3/15/90,1990-03-15
5/8/20,2020-05-08
21/07/2001,2001-07-21
thu 2 nov 1989,1989-11-02
08/03/2001,2001-03-08
sunday 18 january 2009,2009-01-18
09/07/1990,1990-07-09
tuesday 22 april 1997,1997-04-22
thursday march 29 1984,1984-03-29
25 oct 2018,2018-10-25
monday november 29 2021,2021-11-29
jan 11 2016,2016-01-11
thursday august 6 2015,2015-08-06
09/03/2021,2021-03-09
tuesday march 28 2000,2000-03-28
august 4 2004,2004-08-04
thursday 20 november 2003,2003-11-20
saturday november 27 2021,2021-11-27
thu 23 jul 1970,1970-07-23
july 2 2017,2017-07-02
wednesday 2 april 2014,2014-04-02
april 15 1980,1980-04-15
1 jun 1978,1978-06-01
5 dec 2006,2006-12-05
30/05/2014,2014-05-30
29 july 1990,1990-07-29
nov 10 2015,2015-11-10
feb 2 2016,2016-02-02
29 september 2005,2005-09-29
monday 5 september 2016,2016-09-05
feb 20 2015,2015-02-20
26/11/1994,1994-11-26
6 jan 1971,1971-01-06
saturday 12 march 2011,2011-03-12
28 may 1999,1999-05-28
november 26 1974,1974-11-26
26 feb 2014,2014-02-26
1/18/82,1982-01-18
thursday 6 december 2007,2007-12-06
wednesday november 14 2007,2007-11-14
sun 2 may 1982,1982-05-02
13 aug 2020,2020-08-13
sunday march 3 2002,2002-03-03
6/9/96,1996-06-09
apr 1 2002,2002-04-01
sun 29 aug 2021,2021-08-29
19/04/2010,2010-04-19
tue 14 sep 2010,2010-09-14
march 18 1983,1983-03-18
jul 31 1970,1970-07-31
thu 15 oct 1981,1981-10-15
26 november 1996,1996-11-26
18 oct 2016,2016-10-18
thu 17 nov 1977,1977-11-17
29 jan 2015,2015-01-29
22 july 2010,2010-07-22
thursday 23 august 2007,2007-08-23
1/2/03,2003-01-02
28 nov 2006,2006-11-28
tuesday march 8 2016,2016-03-08
tuesday december 28 2004,2004-12-28
4 january 1978,1978-01-04
sep 10 1995,1995-09-10
jan 17 1987,1987-01-17
saturday 9 september 2017,2017-09-09
july 26 1975,1975-07-26
december 20 2021,2021-12-20
august 18 1990,1990-08-18
december 30 1983,1983-12-30
wednesday 11 october 2000,2000-10-11
12 nov 1983,1983-11-12
12/10/88,1988-12-10
friday 7 april 1995,1995-04-07
friday 6 march 1987,1987-03-06
23 apr 1980,1980-04-23
august 18 1996,1996-08-18
30 nov 1989,1989-11-30
4 september 1982,1982-09-04
friday 22 june 2018,2018-06-22
8/3/02,2002-08-03
15 jan 1976,1976-01-15
wed 29 aug 1979,1979-08-29
oct 28 2013,2013-10-28
25 october 2001,2001-10-25
thu 26 feb 2009,2009-02-26
thursday 29 november 2007,2007-11-29
friday 1 march 1974,1974-03-01
thu 26 dec 1985,1985-12-26
monday 13 december 1971,1971-12-13
saturday 10 march 1973,1973-03-10
thursday 1 august 2019,2019-08-01
23 february 1975,1975-02-23
sep 17 2016,2016-09-17
3/24/04,2004-03-24
7 january 2002,2002-01-07
8/14/70,1970-08-14
10/05/2001,2001-05-10
17 dec 1991,1991-12-17
6/23/87,1987-06-23
sep 24 1984,1984-09-24
4 november 1998,1998-11-04
october 21 2016,2016-10-21
saturday february 2 1985,1985-02-02
tuesday 20 november 1973,1973-11-20
sunday 31 october 1999,1999-10-31
10/08/2019,2019-08-10
28 march 1993,1993-03-28
24 nov 1979,1979-11-24
17 sep 1993,1993-09-17
saturday 31 august 1996,1996-08-31
2/7/84,1984-02-07
22 aug 1970,1970-08-22
sat 1 mar 1997,1997-03-01
thursday 13 august 1970,1970-08-13
26 march 2001,2001-03-26
wednesday february 11 1970,1970-02-11
15 feb 2007,2007-02-15
fri 19 oct 2007,2007-10-19
sun 8 aug 2004,2004-08-08
tuesday august 18 2020,2020-08-18
9/21/92,1992-09-21
20/04/1984,1984-04-20
23/10/1985,1985-10-23
tuesday 12 october 1976,1976-10-12
30 jun 2017,2017-06-30
6/13/12,2012-06-13
29 nov 1991,1991-11-29
sunday march 11 2001,2001-03-11
mar 14 1980,1980-03-14
8/2/75,1975-08-02
nov 25 1985,1985-11-25
25 feb 1982,1982-02-25
21 june 2021,2021-06-21
23/10/1972,1972-10-23
27/10/1977,1977-10-27
5 april 1990,1990-04-05
3 sep 1980,1980-09-03
monday 14 june 2021,2021-06-14
tuesday 1 september 1970,1970-09-01
thu 19 mar 2015,2015-03-19
23/12/2014,2014-12-23
fri 7 dec 1990,1990-12-07
19 june 1982,1982-06-19
august 2 1984,1984-08-02
8 march 2019,2019-03-08
wednesday 15 january 2003,2003-01-15
12 jul 2016,2016-07-12
april 18 1993,1993-04-18
wed 11 aug 1976,1976-08-11
5 mar 2014,2014-03-05
5/20/87,1987-05-20
16/05/2005,2005-05-16
11/8/72,1972-11-08
27/02/2017,2017-02-27
thursday 1 october 1970,1970-10-01
18 apr 2016,2016-04-18
monday may 10 2004,2004-05-10
sep 8 1981,1981-09-08
11/03/2010,2010-03-11
wednesday august 14 2019,2019-08-14
25/09/2004,2004-09-25
monday 22 december 1986,1986-12-22
thu 30 dec 1971,1971-12-30
19 august 1992,1992-08-19
july 7 2013,2013-07-07
6 august 2017,2017-08-06
thursday june 23 2011,2011-06-23
24 june 1985,1985-06-24
sunday september 2 2007,2007-09-02
3/16/13,2013-03-16
29 oct 2014,2014-10-29
8/3/02,2002-08-03
oct 13 1989,1989-10-13
wednesday 18 february 1981,1981-02-18
12/12/20,2020-12-12
apr 16 2014,2014-04-16
apr 22 1971,1971-04-22
monday august 8 1977,1977-08-08
thu 2 jan 1997,1997-01-02
25 jun 1976,1976-06-25
thursday june 12 1980,1980-06-12
friday january 2 1970,1970-01-02
thursday july 16 2020,2020-07-16
august 21 2010,2010-08-21
wed 19 mar 2008,2008-03-19
tuesday september 19 2006,2006-09-19
july 29 2016,2016-07-29
10/25/80,1980-10-25
november 30 2021,2021-11-30
4 november 2016,2016-11-04
15 jun 1971,1971-06-15
wed 3 oct 2012,2012-10-03
saturday 21 february 2015,2015-02-21
thu 7 sep 1978,1978-09-07
jun 3 1985,1985-06-03
28 march 2017,2017-03-28
20/03/1991,1991-03-20
august 18 2009,2009-08-18
22 jul 1996,1996-07-22
dec 29 2011,2011-12-29
december 29 2005,2005-12-29
tue 30 dec 1998,1997-12-30
1 aug 2004,2004-08-01
feb 10 2015,2015-02-10
10 july 2020,2020-07-10
6/2/81,1981-06-02
21 march 1993,1993-03-21
wednesday 26 september 1979,1979-09-26
thursday 7 may 2009,2009-05-07
tuesday 5 march 1985,1985-03-05
31 oct 1977,1977-10-31
15 may 1987,1987-05-15
8/20/81,1981-08-20
27 september 1976,1976-09-27
sunday 1 march 1998,1998-03-01
february 1 1989,1989-02-01
sat 25 oct 2008,2008-10-25
sunday october 1 1989,1989-10-01
22 january 1984,1984-01-22
fri 11 oct 1991,1991-10-11
10/4/83,1983-10-04
february 7 1980,1980-02-07
mar 26 1999,1999-03-26
sunday june 25 1978,1978-06-25
july 26 2006,2006-07-26
june 8 1971,1971-06-08
july 21 1986,1986-07-21
sep 17 1984,1984-09-17
11 jul 2011,2011-07-11
may 23 2020,2020-05-23
wed 23 mar 2011,2011-03-23
january 11 2015,2015-01-11
26/08/2014,2014-08-26
may 16 2002,2002-05-16
9 jan 1973,1973-01-09
january 7 1979,1979-01-07
apr 1 2001,2001-04-01
saturday june 9 2007,2007-06-09
28 may 1977,1977-05-28
fri 9 jun 2017,2017-06-09
jul 4 1995,1995-07-04
september 8 2013,2013-09-08
04/12/1973,1973-12-04
27 june 2010,2010-06-27
dec 10 2009,2009-12-10
wednesday 9 april 2003,2003-04-09
friday 2 february 2018,2018-02-02
tuesday december 26 1995,1995-12-26
jun 10 2017,2017-06-10
06/04/2010,2010-04-06
feb 7 2006,2006-02-07
jan 1 1983,1983-01-01
monday 12 december 2005,2005-12-12
9 sep 2005,2005-09-09
thu 28 feb 1985,1985-02-28
wed 6 dec 1995,1995-12-06
12/7/70,1970-12-07
thursday 13 march 1975,1975-03-13
14/10/2020,2020-10-14
saturday 31 may 1980,1980-05-31
09/06/2016,2016-06-09
september 12 1986,1986-09-12
19/06/1990,1990-06-19
14 april 1999,1999-04-14
tuesday november 6 1973,1973-11-06
october 1 2003,2003-10-01
tuesday december 18 1973,1973-12-18
5 jun 1976,1976-06-05
tuesday january 12 1999,1999-01-12
june 1 1996,1996-06-01
07/03/1977,1977-03-07
5/28/05,2005-05-28
thursday march 10 1983,1983-03-10
12/25/96,1996-12-25
mon 18 mar 2019,2019-03-18
28 january 1981,1981-01-28
may 5 2013,2013-05-05
09/05/2014,2014-05-09
sunday 3 april 1977,1977-04-03
sun 8 oct 2006,2006-10-08
19 nov 2006,2006-11-19
july 5 1985,1985-07-05
apr 21 1990,1990-04-21
04/03/1976,1976-03-04
saturday 8 february 1986,1986-02-08
7 may 1982,1982-05-07
10 may 1995,1995-05-10
september 28 1990,1990-09-28
16 mar 2000,2000-03-16
23 feb 1986,1986-02-23
31/05/2006,2006-05-31
saturday 31 october 1992,1992-10-31
sat 4 may 1996,1996-05-04
5/2/89,1989-05-02
19 dec 1970,1970-12-19
sep 4 1971,1971-09-04
15 may 2006,2006-05-15
july 8 1991,1991-07-08
friday november 9 2012,2012-11-09
june 29 1972,1972-06-29
8/13/02,2002-08-13
10/5/21,2021-10-05
13 aug 2002,2002-08-13
thu 22 oct 2015,2015-10-22
aug 16 1993,1993-08-16
24 april 1980,1980-04-24
oct 2 1973,1973-10-02
monday 6 september 2021,2021-09-06
sunday october 27 2002,2002-10-27
15 apr 1993,1993-04-15
jun 12 1985,1985-06-12
tue 29 sep 1992,1992-09-29
nov 20 1999,1999-11-20
07/05/1981,1981-05-07
wednesday april 20 2016,2016-04-20
12/6/76,1976-12-06
sunday october 1 1972,1972-10-01
27/12/1990,1990-12-27
tue 10 apr 1973,1973-04-10
saturday june 11 1988,1988-06-11
3 nov 1979,1979-11-03
sunday july 25 1971,1971-07-25
thursday 26 july 1979,1979-07-26
tuesday 10 december 1974,1974-12-10
march 14 1970,1970-03-14
february 17 2002,2002-02-17
11/8/91,1991-11-08
may 11 2015,2015-05-11
11/27/03,2003-11-27
7/28/07,2007-07-28
september 13 1980,1980-09-13
3/14/21,2021-03-14
3/24/19,2019-03-24
17 february 1987,1987-02-17
12/10/78,1978-12-10
dec 5 2020,2020-12-05
13 jun 2015,2015-06-13
aug 10 1991,1991-08-10
27/12/1976,1976-12-27
aug 30 2012,2012-08-30
sunday march 10 2013,2013-03-10
september 17 2021,2021-09-17
sat 23 mar 2002,2002-03-23
6 may 1978,1978-05-06
9/14/11,2011-09-14
30 june 1981,1981-06-30
september 14 1973,1973-09-14
thursday august 25 1988,1988-08-25
tue 15 aug 1989,1989-08-15
11/06/2008,2008-06-11
friday march 29 1974,1974-03-29
9 jan 2006,2006-01-09
27 aug 1992,1992-08-27
sun 26 sep 1982,1982-09-26
05/04/1982,1982-04-05
july 22 1972,1972-07-22
7/15/22,2022-07-15
september 7 1980,1980-09-07
wed 13 mar 1991,1991-03-13
august 30 1998,1998-08-30
09/09/1990,1990-09-09
friday september 28 2018,2018-09-28
friday may 26 1978,1978-05-26
sunday 27 june 2021,2021-06-27
3/15/83,1983-03-15
november 24 1991,1991-11-24
22 aug 1970,1970-08-22
sep 29 1970,1970-09-29
jan 13 1988,1988-01-13
11 may 2021,2021-05-11
19 aug 1977,1977-08-19
january 16 1986,1986-01-16
wednesday july 5 1995,1995-07-05
apr 7 2003,2003-04-07
1/27/21,2021-01-27
tuesday november 11 1975,1975-11-11
15 november 1990,1990-11-15
november 7 1987,1987-11-07
aug 26 1997,1997-08-26
july 18 2012,2012-07-18
sunday 15 november 2015,2015-11-15
4 nov 2007,2007-11-04
10/18/96,1996-10-18
thursday 13 march 1997,1997-03-13
tuesday january 2 2007,2007-01-02
4 september 2009,2009-09-04
sunday 3 april 1977,1977-04-03
july 31 2010,2010-07-31
sun 30 nov 1980,1980-11-30
friday october 28 1983,1983-10-28
saturday 18 april 2020,2020-04-18
2 jun 1990,1990-06-02
sun 21 may 2000,2000-05-21
27 sep 1976,1976-09-27
thursday 22 november 2007,2007-11-22
8 october 1986,1986-10-08
december 1 2006,2006-12-01
20 may 1989,1989-05-20
tuesday april 8 1997,1997-04-08
thu 12 oct 2000,2000-10-12
wed 11 jul 1990,1990-07-11
16 august 1998,1998-08-16
fri 11 nov 2016,2016-11-11
21 january 1991,1991-01-21
sunday february 28 2021,2021-02-28
jun 20 1988,1988-06-20
23 february 1994,1994-02-23
saturday july 26 1986,1986-07-26
wednesday march 27 1985,1985-03-27
jun 1 2019,2019-06-01
25/09/2010,2010-09-25
22/04/2021,2021-04-22
6 may 1972,1972-05-06
sat 22 feb 2003,2003-02-22
23 june 2022,2022-06-23
4 february 1979,1979-02-04
24/03/2009,2009-03-24
13/11/2010,2010-11-13
9/10/72,1972-09-10
sep 6 2011,2011-09-06
23 nov 1982,1982-11-23
january 9 2000,2000-01-09
september 23 1985,1985-09-23
thursday august 17 2017,2017-08-17
sat 14 aug 1976,1976-08-14
tuesday may 14 1974,1974-05-14
august 6 2014,2014-08-06
09/07/1975,1975-07-09
9/18/90,1990-09-18
29 may 1998,1998-05-29
29 aug 1984,1984-08-29
31 january 1979,1979-01-31
march 28 2000,2000-03-28
13/10/2015,2015-10-13
oct 25 1992,1992-10-25
12/14/10,2010-12-14
saturday 26 november 2011,2011-11-26
1 may 1999,1999-05-01
jan 16 1983,1983-01-16
sep 21 2020,2020-09-21
saturday 6 june 1998,1998-06-06
friday september 18 1992,1992-09-18
24/04/1978,1978-04-24
21/05/2009,2009-05-21
friday 10 august 1990,1990-08-10
10 feb 2022,2022-02-10
17 may 1975,1975-05-17
mon 14 mar 1994,1994-03-14
22/01/1980,1980-01-22
20 dec 1977,1977-12-20
aug 18 1997,1997-08-18
9 may 2019,2019-05-09
29 december 1981,1980-12-29
february 26 2005,2005-02-26
april 4 1975,1975-04-04
monday 9 october 1989,1989-10-09
11 jul 1982,1982-07-11
thu 2 sep 1982,1982-09-02
tuesday february 3 2009,2009-02-03
june 14 1972,1972-06-14
march 20 1977,1977-03-20
march 26 2018,2018-03-26
sep 9 1992,1992-09-09
8 jan 1977,1977-01-08
21 jan 2019,2019-01-21
12/5/14,2014-12-05
05/12/2004,2004-12-05
20 mar 2019,2019-03-20
thursday 15 february 1979,1979-02-15
10/17/88,1988-10-17
2 march 1985,1985-03-02
12/31/07,2007-12-31
feb 26 1970,1970-02-26
thu 3 dec 1981,1981-12-03
mon 23 sep 1991,1991-09-23
oct 14 2016,2016-10-14
20 oct 2001,2001-10-20
wednesday 27 april 2016,2016-04-27
march 7 1995,1995-03-07
5/30/16,2016-05-30
monday 14 august 1978,1978-08-14
august 1 2005,2005-08-01
fri 27 jan 2006,2006-01-27
11 april 2012,2012-04-11
5 november 2018,2018-11-05
2/5/07,2007-02-05
29/03/1992,1992-03-29
monday 15 june 1970,1970-06-15
mar 24 1991,1991-03-24
29 mar 2018,2018-03-29
october 14 1973,1973-10-14
wednesday 8 june 2022,2022-06-08
20/12/1998,1998-12-20
wed 24 dec 1975,1975-12-24
monday 21 march 2005,2005-03-21
monday 23 july 2018,2018-07-23
jan 21 1998,1998-01-21
feb 10 2006,2006-02-10
10 june 1994,1994-06-10
thu 16 jul 1981,1981-07-16
may 25 1970,1970-05-25
6/14/93,1993-06-14
19 august 2004,2004-08-19
29 jan 1993,1993-01-29
fri 5 jul 1974,1974-07-05
25 jul 2003,2003-07-25
12/29/81,1981-12-29
mon 23 apr 1979,1979-04-23
wed 22 nov 1995,1995-11-22
6 sep 1980,1980-09-06
friday september 17 1982,1982-09-17
5 may 2014,2014-05-05
2/1/82,1982-02-01
7 mar 2011,2011-03-07
wed 28 may 1997,1997-05-28
19/07/1979,1979-07-19
friday may 2 1980,1980-05-02
dec 7 2005,2005-12-07
31 july 1976,1976-07-31
23/04/1991,1991-04-23
sep 28 1974,1974-09-28
3 december 2008,2008-12-03
december 15 2004,2004-12-15
saturday 13 june 1987,1987-06-13
wednesday 6 may 1970,1970-05-06
12/10/1975,1975-10-12
sat 2 jun 1990,1990-06-02
fri 28 jan 2022,2022-01-28
friday november 7 2008,2008-11-07
friday 19 september 1997,1997-09-19
aug 24 2002,2002-08-24
12 jun 2013,2013-06-12
dec 20 2019,2019-12-20
18 march 1981,1981-03-18
october 25 1982,1982-10-25
23 nov 1974,1974-11-23
tue 14 dec 2021,2021-12-14
friday november 8 1985,1985-11-08
november 19 1972,1972-11-19
december 9 1991,1991-12-09
25 feb 1978,1978-02-25
saturday february 15 1986,1986-02-15
june 6 1991,1991-06-06
sunday may 19 1985,1985-05-19
2 aug 1976,1976-08-02
wednesday 19 december 2012,2012-12-19
sun 3 dec 2000,2000-12-03
february 10 1971,1971-02-10
saturday august 21 2004,2004-08-21
7 feb 2003,2003-02-07
october 15 2015,2015-10-15
friday 13 november 1970,1970-11-13
wednesday january 8 2003,2003-01-08
27 november 2000,2000-11-27
august 4 2019,2019-08-04
sunday 18 april 1971,1971-04-18
6 jun 1984,1984-06-06
sunday 19 december 1993,1993-12-19
27 oct 1974,1974-10-27
nov 23 1995,1995-11-23
november 13 2017,2017-11-13
january 13 1979,1979-01-13
thursday 2 may 1991,1991-05-02
08/03/2003,2003-03-08
02/04/2016,2016-04-02
december 7 1980,1980-12-07
06/01/2009,2009-01-06
thu 31 mar 1977,1977-03-31
mon 18 jan 1993,1993-01-18
1/19/01,2001-01-19
november 18 1989,1989-11-18
august 11 1977,1977-08-11
tuesday 17 april 2001,2001-04-17
9 jul 2010,2010-07-09
1/12/93,1993-01-12
sunday june 25 1995,1995-06-25
wednesday 22 april 1992,1992-04-22
31 january 2000,2000-01-31
thursday august 18 1988,1988-08-18
sat 13 jun 1992,1992-06-13
monday january 3 2000,2000-01-03
tuesday february 12 2013,2013-02-12
monday 23 july 1990,1990-07-23
25/02/1982,1982-02-25
tuesday september 22 2015,2015-09-22
dec 9 1974,1974-12-09
monday 25 january 1982,1982-01-25
13 aug 2002,2002-08-13
20 june 1981,1981-06-20
saturday july 11 1970,1970-07-11
may 14 2004,2004-05-14
2/10/74,1974-02-10
28/03/1973,1973-03-28
sun 20 nov 2005,2005-11-20
30/09/1989,1989-09-30
wednesday january 26 1994,1994-01-26
october 19 2012,2012-10-19
wednesday january 7 2004,2004-01-07
3/6/01,2001-03-06
10 april 1983,1983-04-10
12/03/2002,2002-03-12
26/04/2022,2022-04-26
may 28 1992,1992-05-28
tuesday 3 august 1971,1971-08-03
tuesday 15 june 2010,2010-06-15
march 3 1980,1980-03-03
tue 24 aug 1971,1971-08-24
november 9 2009,2009-11-09
26/08/1999,1999-08-26
8/30/81,1981-08-30
february 27 2003,2003-02-27
tue 25 nov 2008,2008-11-25
wed 17 feb 1993,1993-02-17
15/01/2019,2019-01-15
05/07/1985,1985-07-05
mar 7 1990,1990-03-07
monday march 14 2005,2005-03-14
sep 23 1990,1990-09-23
thursday 29 may 1997,1997-05-29
17 jan 2004,2004-01-17
6/21/76,1976-06-21
15/09/1971,1971-09-15
18 jul 2014,2014-07-18
4 october 2007,2007-10-04
tue 27 jul 1976,1976-07-27
12/26/76,1976-12-26
fri 20 jun 2008,2008-06-20
sat 19 oct 1974,1974-10-19
sunday 18 june 2017,2017-06-18
fri 18 oct 1991,1991-10-18
14 mar 2010,2010-03-14
thursday 6 february 1986,1986-02-06
1 jan 1973,1973-01-01
sunday december 12 2021,2021-12-12
20 mar 2013,2013-03-20
4 jan 1984,1984-01-04
thu 11 feb 1971,1971-02-11
6/18/79,1979-06-18
2 mar 1989,1989-03-02
01/08/1975,1975-08-01
08/12/1998,1998-12-08
december 31 1999,1999-12-31
fri 7 mar 1986,1986-03-07
friday 29 july 1977,1977-07-29
september 30 2013,2013-09-30
march 15 1996,1996-03-15
15 august 2013,2013-08-15
friday 22 september 1972,1972-09-22
08/01/2020,2020-01-08
5 december 1984,1984-12-05
19/11/2010,2010-11-19
9 apr 2014,2014-04-09
jun 29 2020,2020-06-29
thu 26 nov 1970,1970-11-26
17/11/1971,1971-11-17
5/23/12,2012-05-23
may 16 2019,2019-05-16
sun 27 dec 1992,1992-12-27
27 mar 1976,1976-03-27
may 19 2004,2004-05-19
15/01/1972,1972-01-15
sunday february 14 1993,1993-02-14
30 nov 2016,2016-11-30
03/03/1998,1998-03-03
22/06/2008,2008-06-22
tuesday august 31 2004,2004-08-31
august 14 2018,2018-08-14
07/10/1972,1972-10-07
11 oct 1976,1976-10-11
26/01/1992,1992-01-26
9 apr 2016,2016-04-09
22/04/2017,2017-04-22
aug 25 1978,1978-08-25
november 25 2014,2014-11-25
tue 3 sep 2002,2002-09-03
11/2/77,1977-11-02
tue 18 nov 2014,2014-11-18
friday 25 october 1985,1985-10-25
sat 8 jun 1991,1991-06-08
6/19/77,1977-06-19
21 may 1997,1997-05-21
30 november 1986,1986-11-30
28 jan 1981,1981-01-28
30 sep 1972,1972-09-30
apr 12 2010,2010-04-12
jun 4 2022,2022-06-04
february 18 1997,1997-02-18
tuesday 18 august 2020,2020-08-18
29 sep 1998,1998-09-29
sat 8 feb 2014,2014-02-08
friday 14 march 2008,2008-03-14
december 22 2020,2020-12-22
may 24 1971,1971-05-24
thu 23 jun 1977,1977-06-23
5 jul 1984,1984-07-05
12/23/00,2000-12-23
15/09/2002,2002-09-15
5/30/76,1976-05-30
7/25/75,1975-07-25
april 30 2001,2001-04-30
mon 27 jan 2020,2020-01-27
wednesday 2 january 2013,2013-01-02
february 12 2011,2011-02-12
aug 1 2001,2001-08-01
jun 12 1984,1984-06-12
16 december 2017,2017-12-16
thursday 22 march 2001,2001-03-22
january 28 2002,2002-01-28
wednesday 4 november 2015,2015-11-04
4/7/08,2008-04-07
31 march 2005,2005-03-31
28 february 1983,1983-02-28
tuesday 12 april 2016,2016-04-12
tuesday january 19 2010,2010-01-19
sunday april 4 1976,1976-04-04
friday july 22 1994,1994-07-22
2 feb 2018,2018-02-02
13/03/2000,2000-03-13
7 nov 2011,2011-11-07
3 jul 2002,2002-07-03
saturday 15 september 1990,1990-09-15
monday december 7 2020,2020-12-07
4/22/72,1972-04-22
nov 15 1997,1997-11-15
wednesday 6 july 1983,1983-07-06
3/25/75,1975-03-25
6 aug 2011,2011-08-06
6 december 2015,2015-12-06
sep 20 2004,2004-09-20
6 april 1987,1987-04-06
4/2/13,2013-04-02
nov 7 2018,2018-11-07
mon 9 may 1994,1994-05-09
jul 17 2010,2010-07-17
jan 19 1976,1976-01-19
april 8 1999,1999-04-08
11 may 2010,2010-05-11
september 28 1988,1988-09-28
03/02/1971,1971-02-03
17 nov 1986,1986-11-17
mon 27 feb 2017,2017-02-27
10/17/76,1976-10-17
1/24/09,2009-01-24
wed 16 aug 2000,2000-08-16
15 august 1996,1996-08-15
27/06/2022,2022-06-27
may 17 1984,1984-05-17
september 28 1988,1988-09-28
september 14 2014,2014-09-14
17 march 1978,1978-03-17
friday august 8 1997,1997-08-08
12/8/89,1989-12-08
